slug,name,role,tokens,tier,path,remote,last_commit,activity,domains,surfaces,supabase_ref,vercel_project,linear_project,notes
drift,Drift,AI personal organizer mobile app (voice-first),drift,tier-2,Drift,StrandWorksAutomations/Drift,2026-08-29,active,,,,,,also the HITL mobile inbox lane (web-ask) — user cannot access it as of 2026-06-18
toddler-cards,Toddler Cards,Mobile app (Expo/EAS),toddler-cards;toddler cards,tier-3,toddler-cards,StrandWorksAutomations/toddler-cards,2026-08-28,active,,,,,,support + privacy pages hosted on the company site
wildland-medic,Wildland Medic,Wildland fire medic tooling (ICS 206 WF form; connectors framework),wildfire;wildland-medic;wildland medic,tier-3,wildfire,StrandWorksAutomations/wildland-medic,2026-08-15,active,,,,,,
company-site,Strand Automation Works (public site),Public company web presence — separate product; NOT governed by the cockpit VISION,strand-automation-works;saw-website;company site,tier-3,strand-automation-works-new,StrandWorksAutomations/strand-automation-works,2026-07-04,idle,strandautomationworks.com,www.strandautomationworks.com,,strand-automation-works-new,,DO App Platform strand-automation-works may duplicate this (flagged in services.csv)
knowledge-vault,Knowledge_Vault,Canonical curated reference (signed plans / locked specs / peer-reviewed refs),knowledge_vault;knowledge vault;knowledge-vault,reference,Knowledge_Vault,StrandWorksAutomations/Knowledge_Vault,2026-07-07,idle,,,,,,
wobble-ward,Wobble Ward,Claymorphic physics-ER arcade side game (no education angle),wobble-ward;wobble ward,tier-3,wobble-ward,StrandWorksAutomations/wobble-ward,2026-08-25,active,,,,,,
gods-mistake,God's Mistake,Side project (see MEMORY-projects),gods-mistake;gods mistake,tier-3,gods-mistake,StrandWorksAutomations/gods-mistake,2026-08-23,active,,,,,,
ember-and-vellum,Ember & Vellum,Side brand/site,ember-and-vellum;ember & vellum;emberandvellum,tier-3,ember-and-vellum,StrandWorksAutomations/ember-and-vellum,2026-05-27,dormant,emberandvellum.com,,,,,
highest-paying,highest-paying,Job/comp research site,highest-paying,tier-3,highest-paying,StrandWorksAutomations/highest-paying,2026-08-13,active,,,,,,job-search objective: get home to Berea KY
zekes-barber,Zeke's Barber,Client/side site,zekes-barber;zekes barber,tier-3,zekes-barber,StrandWorksAutomations/zekes-barber,2026-08-03,active,,,,,,
web-qa,web-qa,Web QA harness (drift qa watcher DISABLED — do not re-enable),web-qa,tool,web-qa,StrandWorksAutomations/web-qa,2026-07-23,idle,,,,,,
terminal-carousel-3d,terminal-carousel-3d,3D terminal carousel + web-mobile remote client,terminal-carousel-3d;tc3d,tool,terminal-carousel-3d,StrandWorksAutomations/terminal-carousel-3d,2026-06-24,idle,,,,,,branch feature/clipboard-selection-pro
cardiac-monitor-sim,cardiac-monitor-sim,Earlier cardiac monitor sim (superseded by MedSim props/m15-monitor-defib),cardiac-monitor-sim,frozen,cardiac-monitor-sim,StrandWorksAutomations/cardiac-monitor-sim,2026-05-27,dormant,,,,,,
media-manager,Media_Manager,Earlier full-scope ops attempt (superseded by strandworks-ops per VISION),media_manager;media manager;media-manager,frozen,Media_Manager,StrandWorksAutomations/Media_Manager,2026-05-27,dormant,,,,,,
local-dam,local_dam,Local digital asset manager (superseded by _3D-ASSET-LIBRARY catalog),local_dam;local dam,frozen,local_dam,StrandWorksAutomations/local_Dam,2026-06-18,idle,,,,,,
barad-dur,barad-dur,Internal tool,barad-dur,tool,barad-dur,StrandWorksAutomations/barad-dur,2026-05-27,dormant,,,,,,
bambu-mcp-server,bambu-mcp-server,MCP server for Bambu 3D printer,bambu-mcp-server;bambu,tool,bambu-mcp-server,StrandWorksAutomations/bambu-mcp-server,2026-05-27,dormant,,,,,,
mcp-namecheap,mcp-namecheap,MCP server for Namecheap domains,mcp-namecheap,tool,mcp-namecheap,StrandWorksAutomations/mcp-namecheap,2026-05-27,dormant,,,,,,
consensus-engine,consensus-engine,Multi-model consensus MCP (on-demand since 2026-06-04),consensus-engine;consensus engine,tool,consensus-engine,,2026-05-24,dormant,,,,,,no git remote
blend-ai,blend-ai (fork),Blender MCP — external fork (HoldMyBeer-gg),blend-ai,fork,blend-ai,HoldMyBeer-gg/blend-ai,2026-04-19,dormant,,,,,,
gmail-mcp-multi,gmail-mcp-multi (fork),Gmail MCP — external fork (dmorrill),gmail-mcp-multi,fork,gmail-mcp-multi,dmorrill/gmail-mcp-multi,2026-05-27,dormant,,,,,,
pxpipe,pxpipe (fork),Pixel pipeline — external fork (teamchong),pxpipe,fork,pxpipe,teamchong/pxpipe,2026-07-05,idle,,,,,,
metoc,METOC,Security-professional weather/water/environment briefing site (free-data-first; PDF/PPTX client briefs),metoc;metoc-site;weather brief,tier-2,metoc,,2026-08-31,active,,metoc.vercel.app,,metoc,,origin Danish partner 2026-08-29; research modules 01-05 + 01R sourcing ledger promoted; POC app complete to C4 2026-08-31 (live-verified brief/PDF/PPTX; basemap worker fix); deployed to Vercel production alias metoc.vercel.app 2026-08-31 (owner asked for a phone link; unlisted
